date	freshwater_discharge_m3_s	precipitation_mm_month	data_role
2006-04-01	5.97	351.70	calibration
2006-05-01	4.67	84.20	calibration
2006-06-01	6.67	328.30	calibration
2006-07-01	NA	145.00	calibration
2006-08-01	6.16	140.20	calibration
2006-09-01	5.10	94.60	calibration
2006-10-01	5.79	168.20	calibration
2006-11-01	9.84	237.70	calibration
2006-12-01	6.53	39.80	calibration
2007-01-01	4.57	48.60	calibration
2007-02-01	8.43	371.60	calibration
2007-03-01	11.08	120.20	calibration
2007-04-01	9.11	309.90	calibration
2007-05-01	6.73	137.00	calibration
2007-06-01	6.82	119.10	calibration
2007-07-01	7.78	128.70	calibration
2007-08-01	7.86	146.90	calibration
2007-09-01	7.51	143.20	calibration
2007-10-01	6.44	79.70	calibration
2007-11-01	5.05	117.20	calibration
2007-12-01	4.45	126.30	calibration
2008-01-01	3.38	59.50	calibration
2008-02-01	3.31	149.50	calibration
2008-03-01	3.82	149.50	calibration
2008-04-01	3.13	133.90	calibration
2008-05-01	2.30	46.30	calibration
2008-06-01	4.21	238.30	calibration
2008-07-01	5.14	151.90	calibration
2008-08-01	3.34	83.50	calibration
2008-09-01	2.93	128.00	calibration
2008-10-01	2.28	43.50	calibration
2008-11-01	1.61	85.10	calibration
2008-12-01	4.47	185.30	calibration
2009-01-01	2.95	127.50	calibration
2009-02-01	3.64	207.90	calibration
2009-03-01	2.34	86.70	calibration
2009-04-01	2.71	201.40	calibration
2009-05-01	3.36	NA	calibration
2009-06-01	3.45	84.30	calibration
2009-07-01	4.76	173.20	calibration
2009-08-01	4.52	143.10	calibration
2009-09-01	4.09	99.70	calibration
2009-10-01	5.97	196.50	calibration
2009-11-01	4.41	100.20	calibration
2009-12-01	2.53	233.80	calibration
2010-01-01	2.52	159.30	calibration
2010-02-01	3.21	237.10	calibration
2010-03-01	3.46	194.70	calibration
2010-04-01	6.22	293.30	calibration
2010-05-01	4.40	134.40	calibration
2010-06-01	2.90	52.50	calibration
2010-07-01	6.76	287.40	calibration
2010-08-01	6.84	166.30	calibration
2010-09-01	4.43	136.00	calibration
2010-10-01	4.65	143.80	calibration
2010-11-01	4.25	55.60	calibration
2010-12-01	4.40	147.90	calibration
2011-01-01	4.46	206.10	calibration
2011-02-01	3.71	162.20	calibration
2011-03-01	3.39	106.80	calibration
2011-04-01	6.48	370.60	calibration
2011-05-01	4.99	109.50	calibration
2011-06-01	4.02	129.80	calibration
2011-07-01	4.73	171.80	calibration
2011-08-01	4.79	68.40	calibration
2011-09-01	4.77	106.40	calibration
2011-10-01	4.51	119.20	calibration
2011-11-01	4.21	88.30	calibration
2011-12-01	4.62	113.70	calibration
2012-01-01	4.05	100.20	validation
2012-02-01	4.20	85.40	validation
2012-03-01	2.76	101.30	validation
2012-04-01	2.32	75.00	validation
2012-05-01	2.95	115.90	validation
2012-06-01	3.49	127.00	validation
2012-07-01	4.63	85.50	validation
2012-08-01	4.82	171.70	validation
2012-09-01	3.42	24.00	validation
2012-10-01	3.33	143.50	validation
2012-11-01	3.38	121.70	validation
2012-12-01	2.00	38.10	validation
2013-01-01	2.55	NA	validation
2013-02-01	4.01	161.00	validation
2013-03-01	2.58	90.90	validation
2013-04-01	4.72	227.90	validation
2013-05-01	3.36	103.80	validation
2013-06-01	5.13	204.80	validation
2013-07-01	6.25	185.40	validation
2013-08-01	6.60	231.60	validation
2013-09-01	8.78	104.50	validation
2013-10-01	6.41	105.30	validation
2013-11-01	7.73	386.50	validation
2013-12-01	7.96	59.20	validation
2014-01-01	6.13	278.80	validation
2014-02-01	7.66	177.70	validation
2014-03-01	10.16	258.00	validation
2014-04-01	7.57	72.10	validation
2014-05-01	5.95	78.20	validation
2014-06-01	6.35	130.80	validation
2014-07-01	6.91	175.00	validation
2014-08-01	7.63	79.90	validation
2014-09-01	6.96	213.10	validation
2014-10-01	5.91	40.70	validation
2014-11-01	5.78	89.80	validation
2014-12-01	14.35	NA	validation
2015-01-01	8.92	97.40	validation
2015-02-01	6.63	146.70	validation
2015-03-01	4.43	80.40	validation
2015-04-01	3.41	113.20	validation
2015-05-01	4.77	122.30	validation
2015-06-01	8.13	314.40	validation
2015-07-01	13.92	72.60	validation
2015-08-01	11.78	29.00	validation
2015-09-01	7.04	16.10	validation
2015-10-01	4.75	51.90	validation
2015-11-01	2.74	36.70	validation
2015-12-01	2.02	7.40	validation
2016-01-01	3.60	204.10	validation
2016-02-01	1.09	54.50	validation
2016-03-01	0.56	77.10	validation
2016-04-01	1.10	76.80	validation
2016-05-01	0.69	68.50	validation
2016-06-01	0.48	8.70	validation
2016-07-01	2.31	109.10	validation
2016-08-01	2.97	16.20	validation
2016-09-01	2.90	85.60	validation
2016-10-01	2.82	213.90	validation
2016-11-01	4.61	159.60	validation
2016-12-01	2.69	108.70	validation
2017-01-01	2.37	37.30	validation
2017-02-01	2.86	272.40	validation
2017-03-01	2.70	149.70	validation
2017-04-01	2.95	96.50	validation
2017-05-01	3.04	206.40	validation
2017-06-01	4.10	106.90	validation
2017-07-01	6.30	194.60	validation
2017-08-01	4.82	52.10	validation
2017-09-01	5.64	202.00	validation
2017-10-01	4.62	88.40	validation
2017-11-01	4.06	87.60	validation
2017-12-01	3.07	NA	validation
2018-01-01	2.50	115.70	validation
2018-02-01	2.19	112.60	validation
2018-03-01	3.08	165.70	validation
2018-04-01	5.22	207.50	validation
2018-05-01	5.93	175.20	validation
2018-06-01	7.07	111.90	validation
2018-07-01	5.96	92.30	validation
2018-08-01	5.17	101.40	validation
2018-09-01	4.33	NA	validation
2018-10-01	2.84	NA	validation
2018-11-01	NA	251.30	validation
2018-12-01	5.82	101.40	validation
2019-01-01	2.71	50.20	validation
2019-02-01	2.03	46.70	validation
2019-03-01	2.14	90.40	validation
2019-04-01	2.85	176.40	validation
